Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006164~purine nucleotide biosynthetic process	10	14.492753623188406	2.111277271577856E-12	ADE12, PRS1, PRS4, PRS3, ADE13, ADE8, ADE6, ADE17, ADE4, GUA1	69	23	5675	35.759294265910526	3.8425862491919816E-10	3.842524634271698E-10	3.4836074981034626E-10
GOTERM_BP_DIRECT	GO:0008652~cellular amino acid biosynthetic process	11	15.942028985507244	1.138329859181707E-7	ILV5, ILV3, SER2, HIS6, LEU2, ARO7, MDE1, MRI1, ARO2, LYS4, MET6	69	93	5675	9.728066074489636	2.0717390009639125E-5	1.0358801718553534E-5	9.391221338249084E-6
GOTERM_BP_DIRECT	GO:0006418~tRNA aminoacylation for protein translation	7	10.144927536231885	1.1205196270336417E-6	WRS1, MES1, DED81, ILS1, SES1, GLN4, CDC60	69	30	5675	19.19082125603865	2.0391389312124364E-4	6.797819070670759E-5	6.16285794868503E-5
GOTERM_BP_DIRECT	GO:0006189~'de novo' IMP biosynthetic process	5	7.246376811594203	2.2715519317791367E-6	ADE13, ADE8, ADE6, ADE17, ADE4	69	9	5675	45.692431561996784	4.1333747365912554E-4	1.0335561289595072E-4	9.370151718588939E-5
GOTERM_BP_DIRECT	GO:0006730~one-carbon metabolic process	5	7.246376811594203	3.079671844761498E-5	SAH1, SAM1, SAM2, SHM2, DFR1	69	16	5675	25.701992753623188	0.005589409863484662	9.731241654314882E-4	8.822279521768987E-4
GOTERM_BP_DIRECT	GO:0044249~cellular biosynthetic process	4	5.797101449275362	3.2081016442796316E-5	PRS1, PRS4, PRS3, MRI1	69	6	5675	54.83091787439614	0.005821825760580657	9.731241654314882E-4	8.822279521768987E-4
GOTERM_BP_DIRECT	GO:0009116~nucleoside metabolic process	4	5.797101449275362	2.5351250343455566E-4	PRS1, PRS4, PRS3, ADE4	69	11	5675	29.907773386034258	0.045096628270185346	0.006591325089298447	0.0059756518666716696
GOTERM_BP_DIRECT	GO:0006015~5-phosphoribose 1-diphosphate biosynthetic process	3	4.3478260869565215	0.0013822688778487406	PRS1, PRS4, PRS3	69	5	5675	49.347826086956516	0.22255856838497023	0.027952548418718977	0.025341596093893578
GOTERM_BP_DIRECT	GO:0009156~ribonucleoside monophosphate biosynthetic process	3	4.3478260869565215	0.0013822688778487406	PRS1, PRS4, PRS3	69	5	5675	49.347826086956516	0.22255856838497023	0.027952548418718977	0.025341596093893578
GOTERM_BP_DIRECT	GO:0006412~translation	11	15.942028985507244	0.001620741038294768	WRS1, MES1, DED81, ILS1, ALA1, SES1, GRS1, FRS2, GLN4, FRS1, CDC60	69	279	5675	3.2426886914965456	0.25562784918609827	0.029497486896964777	0.02674222713186367
GOTERM_BP_DIRECT	GO:0006555~methionine metabolic process	3	4.3478260869565215	0.0020573628085562823	MET12, SAM1, SAM2	69	6	5675	41.1231884057971	0.31259094358769124	0.03404000283247667	0.030860442128344236
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	4	5.797101449275362	0.0031340228726111333	IDI1, NCP1, ERG7, HMG1	69	25	5675	13.159420289855072	0.4352024020541875	0.047532680234602186	0.04309281449840308
GOTERM_BP_DIRECT	GO:0006694~steroid biosynthetic process	4	5.797101449275362	0.003512661952451261	IDI1, NCP1, ERG7, HMG1	69	26	5675	12.65328874024526	0.47293423236800436	0.049177267334317654	0.044583786319573694
GOTERM_BP_DIRECT	GO:0006696~ergosterol biosynthetic process	4	5.797101449275362	0.003918134426715901	IDI1, NCP1, ERG7, HMG1	69	27	5675	12.184648416532474	0.510563787615527	0.05093574754730671	0.04617801288629455
GOTERM_BP_DIRECT	GO:0016126~sterol biosynthetic process	4	5.797101449275362	0.004811807481246781	IDI1, NCP1, ERG7, HMG1	69	29	5675	11.344327836081959	0.5843296300125247	0.05164678061892831	0.04682263078089654
GOTERM_BP_DIRECT	GO:0009086~methionine biosynthetic process	4	5.797101449275362	0.004811807481246781	MET12, MDE1, MRI1, MET6	69	29	5675	11.344327836081959	0.5843296300125247	0.05164678061892831	0.04682263078089654
GOTERM_BP_DIRECT	GO:0043039~tRNA aminoacylation	3	4.3478260869565215	0.004824149838031765	ALA1, FRS2, GLN4	69	9	5675	27.415458937198068	0.5852668164216334	0.05164678061892831	0.04682263078089654
GOTERM_BP_DIRECT	GO:0009165~nucleotide biosynthetic process	3	4.3478260869565215	0.005983695762736048	PRS1, PRS4, PRS3	69	10	5675	24.673913043478258	0.6645572254759096	0.06050181271210892	0.0548505444917471
GOTERM_BP_DIRECT	GO:0006783~heme biosynthetic process	3	4.3478260869565215	0.010134101368489617	HEM3, HEM15, COX10	69	13	5675	18.97993311036789	0.8433616719410334	0.09222032245325551	0.08360633629003934
GOTERM_BP_DIRECT	GO:0009082~branched-chain amino acid biosynthetic process	3	4.3478260869565215	0.010134101368489617	ILV5, ILV3, LEU2	69	13	5675	18.97993311036789	0.8433616719410334	0.09222032245325551	0.08360633629003934
GOTERM_BP_DIRECT	GO:0022900~electron transport chain	3	4.3478260869565215	0.01173228097890364	NCP1, YAH1, COX2	69	14	5675	17.62422360248447	0.8832709455110583	0.10167976848383153	0.09218220769138574
GOTERM_BP_DIRECT	GO:0006597~spermine biosynthetic process	2	2.898550724637681	0.02382326680634262	SPE4, SPE2	69	2	5675	82.2463768115942	0.9875783782627617	0.18851454603279813	0.17090604448028401
GOTERM_BP_DIRECT	GO:0044208~'de novo' AMP biosynthetic process	2	2.898550724637681	0.02382326680634262	ADE12, ADE13	69	2	5675	82.2463768115942	0.9875783782627617	0.18851454603279813	0.17090604448028401
GOTERM_BP_DIRECT	GO:0006541~glutamine metabolic process	3	4.3478260869565215	0.028006775128423988	ADE6, ADE4, GUA1	69	22	5675	11.215415019762846	0.9943152774757813	0.21238471139054857	0.19254657900791491
GOTERM_BP_DIRECT	GO:0006432~phenylalanyl-tRNA aminoacylation	2	2.898550724637681	0.03552430996802858	FRS2, FRS1	69	3	5675	54.83091787439614	0.9986163891064702	0.23090801479218576	0.20933968374016843
GOTERM_BP_DIRECT	GO:0006784~heme a biosynthetic process	2	2.898550724637681	0.03552430996802858	YAH1, COX10	69	3	5675	54.83091787439614	0.9986163891064702	0.23090801479218576	0.20933968374016843
GOTERM_BP_DIRECT	GO:0006556~S-adenosylmethionine biosynthetic process	2	2.898550724637681	0.03552430996802858	SAM1, SAM2	69	3	5675	54.83091787439614	0.9986163891064702	0.23090801479218576	0.20933968374016843
GOTERM_BP_DIRECT	GO:0044209~AMP salvage	2	2.898550724637681	0.03552430996802858	APT1, ADO1	69	3	5675	54.83091787439614	0.9986163891064702	0.23090801479218576	0.20933968374016843
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	6	8.695652173913043	0.03743102403385472	IDI1, NCP1, FAS1, ERG7, HMG1, ACC1	69	155	5675	3.1837307152875174	0.9990348417422978	0.23491194393660547	0.21296961950296647
GOTERM_BP_DIRECT	GO:0019284~L-methionine salvage from S-adenosylmethionine	2	2.898550724637681	0.04708713558945089	MDE1, MRI1	69	4	5675	41.1231884057971	0.9998459433036391	0.267808083665002	0.24279304288310616
GOTERM_BP_DIRECT	GO:0042759~long-chain fatty acid biosynthetic process	2	2.898550724637681	0.04708713558945089	FAS1, ACC1	69	4	5675	41.1231884057971	0.9998459433036391	0.267808083665002	0.24279304288310616
GOTERM_BP_DIRECT	GO:0006596~polyamine biosynthetic process	2	2.898550724637681	0.04708713558945089	SPE4, SPE2	69	4	5675	41.1231884057971	0.9998459433036391	0.267808083665002	0.24279304288310616
GOTERM_BP_DIRECT	GO:0046654~tetrahydrofolate biosynthetic process	2	2.898550724637681	0.058513352266663	DFR1, FOL1	69	5	5675	32.89855072463768	0.9999828533981471	0.3227100034100808	0.292566761333315
GOTERM_BP_DIRECT	GO:0006166~purine ribonucleoside salvage	2	2.898550724637681	0.0698045501593004	APT1, ADO1	69	6	5675	27.41545893719807	0.9999980923163317	0.3529007813609076	0.31993752156346017
GOTERM_BP_DIRECT	GO:1900101~regulation of endoplasmic reticulum unfolded protein response	2	2.898550724637681	0.0698045501593004	PMT4, PMT2	69	6	5675	27.41545893719807	0.9999980923163317	0.3529007813609076	0.31993752156346017
GOTERM_BP_DIRECT	GO:0009099~valine biosynthetic process	2	2.898550724637681	0.0698045501593004	ILV5, ILV3	69	6	5675	27.41545893719807	0.9999980923163317	0.3529007813609076	0.31993752156346017
GOTERM_BP_DIRECT	GO:0035999~tetrahydrofolate interconversion	2	2.898550724637681	0.08096230118919204	MET12, SHM2	69	7	5675	23.498964803312628	0.9999997878390677	0.39824699503872846	0.3610480998977483
GOTERM_BP_DIRECT	GO:0008152~metabolic process	5	7.246376811594203	0.09333096087703847	ARO7, FAS1, ADE17, ACC1, FOL1	69	144	5675	2.855776972624799	0.9999999819831442	0.447006181042658	0.4052528564397723
